page,priority,content
7,0.7746478873239436,"BUSINESS TRAVELER  2019"
7,0.43661971830985913,"15"
8,0.7903225806451613,""
8,0.8387096774193549,""
8,0.7903225806451613,""
8,0.06451612903225806,""
8,0.1935483870967742,""
8,0.1935483870967742,""
8,0.1935483870967742,""
8,0.1935483870967742,""
8,0.1935483870967742,""
8,0.1935483870967742,""
8,0.1935483870967742,""
8,0.3225806451612903,"2 0 1 8  +  2 0 1 9"
8,1.0,"The Blue Yonder"
8,0.8709677419354839,"Looking toward the future,"
8,0.903225806451613,"we’re making significant"
8,0.967741935483871,"investments through our"
8,0.9354838709677419,"wholly owned subsidiaries."
8,0.7419354838709676,"JetBlue Technology Ventures is focused on finding"
8,0.5483870967741935,"and supporting early stage startups at the intersection"
8,0.4516129032258065,"of technology, travel and hospitality."
8,0.41935483870967744,"17"
8,0.03225806451612903,"J E T B L  U E  S O  C I A L  I M P  A  C  T  R E P  O R  T"
8,0.3870967741935484,"17"
8,0.7096774193548387,"JetBlue Travel Products is positioned to successfully"
8,0.6451612903225806,"expand our non-air product portfolio including vacation"
8,0.6129032258064516,"package offerings with insurance, hotel, cruise and"
8,0.5161290322580645,"car rental partners and other offerings to innovate the"
8,0.5806451612903225,"travel industry. We expect these investments to deliver"
8,0.4838709677419355,"value for all of our stakeholders and our business in"
8,0.6774193548387096,"the years to come."
8,0.3548387096774194,"16"
9,0.7142857142857143,""
9,0.14285714285714288,"19"
9,0.28571428571428575,"2 0 1 8  +  2 0 1 9. J E T B L U E  S O C I A L  I M P A C T  R E P O R T"
9,1.0,"3"
9,0.8571428571428571,"JETBLUE . FOR G   OOD"
9,0.42857142857142855,"I T ’ S  I N  O U R  D N A"
9,0.5714285714285715,"18  19"
10,0.25,""
10,0.1,""
10,0.25,""
10,0.4,""
10,0.25,""
10,0.25,""
10,0.25,""
10,0.95,""
10,1.0,"21 20"
10,0.05,"2 0 1 8  +  2 0 1 9"
10,0.65,"Our corporate social"
10,0.6,"responsibility strategy,"
10,0.8,"JetBlue For Good,"
10,0.75,"focuses on three areas"
